,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
1823,9.15,41.32,441.75,218.19,696.02,12.53,0.04,0.73,107.72,0.0,678.55,0.0,848.9,1.1368683772161603e-13
1824,9.15,37.7,366.03,222.0,695.88,12.03,0.01,0.69,88.8,0.0,511.15999999999985,0.0,921.13,1.1368683772161603e-13
1825,9.16,34.38,350.01,219.1,695.76,11.56,0.01,0.56,126.03,0.0,604.0999999999995,0.0,842.47,2.2737367544323206e-13
1826,9.17,50.46,350.77,221.68,695.63,12.08,0.01,0.4,95.38,0.0,530.4299999999998,0.0,905.15,1.1368683772161603e-13
1827,9.16,44.93,372.99,223.52,695.71,11.74,0.01,0.31,76.99000000000001,0.0,479.79999999999995,0.0,955.56,0.0
1828,9.22,51.18,374.62,219.91,695.77,11.72,0.05,0.41,143.51,0.0,582.9899999999998,0.0,923.4,1.1368683772161603e-13
1829,9.22,54.52,386.45,221.7,695.61,10.51,0.62,0.26,117.14,0.0,791.8500000000001,0.0,704.18,-1.1368683772161603e-13
1830,9.19,52.92,487.5,221.44,695.24,10.36,5.8,0.29,180.27,0.0,955.3799999999997,0.0,707.63,1.1368683772161603e-13
1831,10.41,56.14,656.75,215.84,695.23,10.7,15.22,0.41,83.28,0.0,1001.1500000000001,0.0,742.83,-1.1368683772161603e-13
1832,10.36,54.43,623.43,226.02,695.32,9.35,26.92,0.27,36.52,0.0,1002.8199999999997,0.0,679.8,2.2737367544323206e-13
1833,10.47,56.81,680.66,230.02,695.23,10.44,40.22,0.21,0.0,0.0,1109.5400000000002,58.56,555.96,0.0
1834,10.44,53.31,781.62,259.53,695.15,10.44,43.94,0.16,0.0,0.0,1145.9800000000002,27.820000000000004,680.79,1.1368683772161603e-13
1835,10.41,57.82,740.8,220.74,695.05,9.73,32.62,0.24,0.0,0.0,1068.69,14.66,684.06,-1.1368683772161603e-13
1836,10.57,57.55,764.57,214.96,695.36,9.09,21.38,0.25,0.0,0.0,1057.4400000000003,37.86,678.43,0.0
1837,10.57,64.38,678.5,214.28,695.49,10.85,15.74,0.19,0.0,0.0,946.6599999999999,17.57,725.77,1.1368683772161603e-13
