,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
204,370.43,3714.52,163.27,4955.66,882.43,206.63,190.77,173.6,12180.0,0.0,72.33000000000027
205,374.62,3622.13,182.8,4953.18,862.08,122.28,116.07,275.06,12105.0,0.0,98.89999999999912
206,373.66,3573.39,59.89,4950.71,846.67,82.06,146.35,238.04,12129.0,0.0,44.70000000000073
207,369.01,3627.34,59.59,4949.5,844.25,16.96,190.9,294.85,12188.0,0.0,38.219999999999345
208,363.81,3672.43,547.05,4950.36,836.97,0.0,278.81,344.57,12869.0,29.94000000000233,0.0
209,365.03,3645.95,420.19,4950.76,846.42,0.0,291.48,414.06,12779.0,29.980000000000302,0.0
210,370.51,3447.34,398.7,4952.4,842.09,0.0,310.62,383.81,12226.0,25.23999999999876,0.0
211,368.39,3069.12,75.21,4956.44,777.48,0.0,461.15,319.19,11705.0,110.7200000000006,0.0
212,369.56,2309.2,73.75,4958.18,783.67,0.0,297.6,300.43,11066.0,87.97999999999956,0.0
213,371.59,1733.61,38.88,4957.81,797.64,0.0,259.33,267.77,11074.0,146.61999999999898,0.0
214,371.18,1726.99,93.75,4957.49,789.4,0.0,199.06,279.82,10947.0,110.02999999999884,0.0
215,371.62,1673.8,32.8,4956.32,912.56,0.0,171.98,303.72,10298.0,0.0,165.59000000000015
216,371.41,1696.99,32.54,4954.81,903.3,0.0,193.39,347.39,9812.0,0.0,1077.9599999999991
217,374.24,1634.68,31.82,4951.97,899.9,0.0,221.34,341.24,9421.0,0.0,1253.5300000000007
218,374.66,1453.63,31.68,4878.33,897.24,0.0,285.52,308.81,9176.0,0.0,1128.9699999999996
219,373.93,1421.71,32.19,4892.45,898.4,0.0,344.87,328.49,9232.0,0.0,1156.2499999999986
220,374.71,1525.35,32.94,4902.72,894.6,0.0,357.97,318.69,9635.0,0.0,996.040000000001
221,369.07,1973.05,33.26,4899.35,923.63,0.0,373.15,377.77,10758.0,0.0,125.89000000000124
222,363.83,3001.11,32.6,4901.66,976.09,0.0,476.12,408.3,11726.0,0.0,69.27000000000044
223,364.71,3552.89,78.01,4903.91,994.45,0.27,611.5,408.66,12112.0,2.1999999999989086,0.0
224,369.03,3634.06,255.39,4903.6,980.62,29.24,619.89,456.28,12183.0,0.0,64.7300000000032
225,364.84,3628.86,329.43,4907.47,982.44,117.13,554.87,416.98,12062.0,0.0,139.11000000000058
226,364.62,3606.51,321.3,4904.55,960.59,180.77,561.12,307.53,12087.0,0.0,167.19000000000233
227,366.13,3550.85,188.04,4904.0,941.62,249.67,449.21,289.48,11935.0,0.0,219.21999999999935
228,367.13,3508.2,200.44,4905.9,999.09,218.03,336.78,277.25,11957.0,0.0,300.47000000000116
229,361.78,3475.06,147.5,4907.24,1008.91,155.48,391.21,225.43,12036.0,0.0,295.28999999999905
230,366.72,3485.87,138.24,4906.16,976.81,92.85,316.79,206.14,12107.0,0.0,308.0100000000002
231,362.68,3538.76,427.26,4904.31,967.69,21.73,277.32,206.6,12092.0,0.0,326.73000000000116
232,369.79,3531.31,829.48,4901.71,968.49,0.0,270.77,210.7,12651.0,0.0,287.4900000000016
233,370.76,3540.88,764.35,4902.75,956.9,0.0,252.52,200.48,12621.0,0.0,160.50000000000182
234,364.55,3587.17,423.21,4909.53,929.98,0.0,277.07,150.77,12181.0,0.0,78.32999999999913
235,363.8,2919.75,146.25,4918.99,906.41,0.0,280.53,118.06,11628.0,0.0,50.43000000000126
236,365.37,2086.41,37.61,4951.8,921.65,0.0,207.48,117.06,11049.0,0.0,40.72999999999956
237,365.86,1942.45,66.03,4956.04,857.65,0.0,182.12,92.59,11053.0,0.0,3.5900000000001455
238,366.26,1861.63,35.83,4957.57,886.5,0.0,119.71,71.44,10935.0,0.0,12.470000000001164
239,371.74,1513.32,35.64,4957.88,872.69,0.0,55.21,66.14,10295.0,0.0,128.13000000000102
240,373.89,1388.97,35.38,4956.58,859.23,0.0,43.09,67.4,9808.0,0.0,1035.1099999999988
241,375.09,1334.67,35.4,4957.08,850.53,0.0,39.49,67.92,9493.0,0.0,1242.6499999999996
242,372.94,1313.61,35.33,4956.34,846.26,0.0,2.62,48.7,9300.0,0.0,1274.7600000000002
243,372.1,1469.75,34.91,4956.85,848.37,0.0,0.0,32.09,9449.0,0.0,1325.2299999999996
244,372.54,1616.63,34.09,4957.32,885.32,0.0,0.0,14.79,9844.0,0.0,1181.5
245,374.06,2327.74,33.38,4955.44,919.0,0.0,0.0,9.01,10951.0,0.0,390.09000000000015
246,369.21,3523.07,115.14,4952.46,969.44,0.0,0.0,7.36,11987.0,0.0,237.3600000000024
247,369.53,3834.44,453.08,4953.8,1036.36,0.33,0.0,8.46,12486.0,0.0,194.5599999999995
248,368.24,3768.97,899.9,4958.02,1044.05,45.17,0.0,11.59,12407.0,0.0,307.75
249,371.01,3711.98,433.7,4957.6,1010.97,141.45,0.0,11.79,12320.0,0.0,343.21000000000276
250,371.18,3750.17,123.74,4957.31,1002.67,231.83,0.0,15.44,12322.0,0.0,384.8100000000013
251,370.85,3727.25,67.17,4958.77,1015.36,299.32,0.0,22.17,12022.0,0.0,443.5500000000011
252,371.07,3677.15,56.67,4957.96,1043.56,238.32,0.0,23.82,12029.0,0.0,469.35999999999876
253,366.84,3675.97,74.58,4959.16,1055.99,192.02,0.0,22.48,11990.0,0.0,447.3299999999981
254,364.16,3671.96,64.57,4959.61,1056.03,96.17,0.0,26.71,12009.0,0.0,381.10999999999876
255,367.39,3669.38,143.89,4957.95,1004.4,15.39,0.0,33.31,12097.0,0.0,301.7699999999986
