,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
7899,4712.0,4891.0,8071.0,1219.0,13246.0,9319.0,1418.0,131.0,0.0,3878.0,10327.0,50214.3571,487.2570999999971,0.0
7900,4726.0,5853.0,9609.0,1158.0,13604.0,9315.0,1417.0,131.0,0.0,3765.0,10897.0,54662.2551,2320.255100000002,0.0
7901,4751.0,7998.0,11918.0,1316.0,15049.0,9347.0,1419.0,131.0,0.0,3651.0,11109.0,64156.5,4487.919999999998,0.0
7902,4790.0,9945.0,13720.0,1665.0,15464.0,9347.0,1423.0,131.0,8.0,3346.0,11678.0,70989.9082,4884.748200000005,0.0
7903,4774.0,11031.0,14016.0,1486.0,15519.0,9342.0,1408.0,131.0,263.0,3363.0,11233.0,73331.6531,5025.843100000003,0.0
7904,4777.0,11763.0,14077.0,3418.0,15628.0,9339.0,1426.0,131.0,1038.0,3244.0,10158.0,73851.7449,4369.744900000005,0.0
7905,4780.0,12214.0,14095.0,3693.0,15670.0,9349.0,1489.0,131.0,1867.0,3035.0,8362.0,74725.5714,4816.381400000003,0.0
7906,4796.0,12391.0,14600.0,4059.0,15665.0,9346.0,1535.0,131.0,2429.0,2744.0,6853.0,75332.0,4423.820000000006,0.0
7907,4808.0,12372.0,14837.0,3455.0,15524.0,9345.0,1471.0,131.0,2392.0,2201.0,6170.0,74675.9082,4259.818200000007,0.0
7908,4810.0,12465.0,15090.0,3298.0,15390.0,9355.0,1483.0,131.0,1837.0,1636.0,5794.0,74070.8776,3942.647600000003,0.0
7909,4806.0,12602.0,15245.0,3989.0,15393.0,9365.0,1498.0,131.0,1002.0,1132.0,5460.0,73405.5306,3842.0206000000035,0.0
7910,4811.0,12695.0,15243.0,4856.0,15388.0,9364.0,1582.0,131.0,258.0,1019.0,5526.0,73205.4082,3921.658200000012,0.0
7911,4832.0,12793.0,15245.0,5655.0,15560.0,9362.0,1508.0,131.0,9.0,1071.0,6197.0,74157.6224,3951.842399999998,0.0
7912,4825.0,12865.0,15308.0,5167.0,16121.0,9367.0,1510.0,131.0,0.0,1160.0,6510.0,75664.8469,4210.926900000002,0.0
7913,4839.0,12456.0,15463.0,4845.0,16280.0,9384.0,1466.0,131.0,0.0,1348.0,6603.0,74706.7143,4411.814300000002,0.0
7914,4786.0,12102.0,15521.0,3773.0,16271.0,9371.0,1440.0,131.0,0.0,1518.0,6550.0,72833.5102,4481.670199999999,0.0
7915,4703.0,11183.0,15288.0,1679.0,16288.0,9369.0,1448.0,131.0,0.0,1585.0,5917.0,68947.0306,4214.910599999994,0.0
7916,4728.0,10585.0,15170.0,1269.0,16236.0,9370.0,1446.0,131.0,0.0,1439.0,5249.0,65493.3061,4185.766100000002,0.0
7917,4724.0,9536.0,14799.0,1326.0,16085.0,9363.0,1447.0,131.0,0.0,1383.0,4891.0,62545.9082,2779.348200000002,0.0
7918,4695.0,8929.0,13884.0,1356.0,15952.0,9337.0,1445.0,131.0,0.0,1120.0,4397.0,58301.051,867.2010000000018,0.0
7919,4661.0,9027.0,13016.0,1409.0,15787.0,9342.0,1429.0,131.0,0.0,1127.0,4154.0,55228.3878,48.37779999999475,0.0
7920,4650.0,9004.0,12566.0,1448.0,15673.0,9350.0,1440.0,131.0,0.0,973.0,3976.0,53476.0,0.0,531.7400000000016
7921,4661.0,8435.0,12196.0,1443.0,15451.0,9340.0,1448.0,131.0,0.0,944.0,4028.0,52653.0408,0.0,1365.6092000000008
7922,4648.0,8065.0,11999.0,1452.0,15293.0,9350.0,1488.0,131.0,0.0,863.0,4026.0,53060.5204,0.0,1399.6495999999988
7923,4742.0,8590.0,12457.0,1439.0,15274.0,9358.0,1491.0,131.0,0.0,834.0,3778.0,54421.949,0.0,845.8309999999974
7924,4736.0,9487.0,13932.0,1413.0,15538.0,9358.0,1484.0,131.0,0.0,1079.0,3655.0,58006.3367,1007.7867000000024,0.0
7925,4768.0,11078.0,15814.0,1602.0,16036.0,9355.0,1480.0,131.0,0.0,1072.0,3443.0,65487.6735,3079.75349999999,0.0
7926,4778.0,12293.0,16445.0,2537.0,16283.0,9363.0,1463.0,131.0,7.0,1303.0,3022.0,71746.3673,3933.507299999994,0.0
7927,4784.0,12564.0,16304.0,5093.0,16323.0,9375.0,1508.0,131.0,275.0,1029.0,2752.0,73625.3163,3719.6463000000113,0.0
7928,4768.0,12569.0,16315.0,5405.0,16355.0,9380.0,1541.0,131.0,1164.0,1133.0,2088.0,73739.0306,3729.330599999998,0.0
7929,4778.0,12685.0,16333.0,4718.0,16366.0,9378.0,1539.0,131.0,2227.0,1324.0,1482.0,74716.8469,4154.366900000001,0.0
7930,4763.0,12378.0,16365.0,3705.0,16350.0,9375.0,1536.0,131.0,3207.0,1520.0,1194.0,75436.6122,4292.152200000003,0.0
7931,4799.0,12290.0,16457.0,1925.0,16337.0,9367.0,1534.0,131.0,3633.0,2000.0,1203.0,74973.0,4227.420000000007,0.0
7932,4818.0,12522.0,16651.0,2569.0,16379.0,9375.0,1525.0,131.0,3098.0,2485.0,1368.0,74683.8673,3909.0272999999916,0.0
7933,4814.0,12751.0,16593.0,2400.0,16363.0,9381.0,1548.0,131.0,1807.0,2578.0,1556.0,73862.8163,3830.2763000000054,0.0
7934,4818.0,12939.0,16870.0,2468.0,16307.0,9373.0,1554.0,131.0,538.0,2706.0,1886.0,73713.4286,4076.558599999996,0.0
7935,4849.0,13125.0,16575.0,5271.0,16354.0,9374.0,1659.0,131.0,18.0,2961.0,2405.0,74833.1939,4028.5238999999956,0.0
7936,4864.0,13487.0,16618.0,6659.0,16319.0,9367.0,1845.0,131.0,0.0,3002.0,3265.0,76641.3673,4032.317299999999,0.0
7937,4894.0,13115.0,16698.0,3213.0,16334.0,9334.0,1621.0,131.0,0.0,3290.0,4131.0,75676.1224,4217.802399999988,0.0
7938,4880.0,11474.0,16372.0,1680.0,16350.0,9354.0,1490.0,131.0,0.0,3770.0,4861.0,73924.7857,4296.505699999996,0.0
7939,4801.0,10769.0,15506.0,2439.0,16214.0,9323.0,1493.0,131.0,0.0,4085.0,5985.0,70509.102,4127.591999999993,0.0
7940,4880.0,9921.0,13878.0,1433.0,16238.0,9303.0,1490.0,131.0,0.0,4298.0,6875.0,67167.551,3846.7710000000106,0.0
7941,4847.0,8410.0,12704.0,1452.0,16250.0,9307.0,1498.0,131.0,0.0,4340.0,7362.0,64146.5,3740.4600000000037,0.0
7942,4853.0,7052.0,11392.0,1354.0,15726.0,9276.0,1506.0,131.0,0.0,4366.0,8137.0,60095.0714,2359.371400000002,0.0
7943,4821.0,7128.0,9707.0,1362.0,15420.0,9341.0,1468.0,131.0,0.0,4479.0,9073.0,56890.1224,1800.6124000000018,0.0
7944,4794.0,6718.0,9326.0,1353.0,15277.0,9364.0,1471.0,131.0,0.0,4628.0,9506.0,55168.5102,990.1602000000003,0.0
7945,4801.0,6821.0,9001.0,1328.0,15179.0,9333.0,1465.0,131.0,0.0,4694.0,10474.0,54412.9796,0.0,749.3304000000026
7946,4790.0,6672.0,8967.0,1319.0,15090.0,9374.0,1462.0,131.0,0.0,4678.0,10800.0,54762.9388,0.0,617.251199999997
7947,4785.0,6927.0,9104.0,1401.0,14728.0,9369.0,1466.0,131.0,0.0,4770.0,11615.0,55979.9388,412.58880000000863,0.0
7948,4783.0,7366.0,10364.0,1543.0,15095.0,9379.0,1473.0,131.0,0.0,4641.0,12887.0,59802.7857,2267.6957,0.0
7949,4817.0,7877.0,12109.0,3049.0,15574.0,9366.0,1467.0,131.0,0.0,4073.0,14773.0,67795.6735,4128.693499999998,0.0
7950,4830.0,8294.0,13247.0,4353.0,15644.0,9362.0,1493.0,131.0,7.0,3691.0,15603.0,73944.1837,4659.513699999994,0.0
7951,4838.0,8397.0,13260.0,5351.0,15666.0,9352.0,1538.0,131.0,667.0,3641.0,16022.0,75824.7449,4660.7949,0.0
7952,4837.0,8283.0,13473.0,5455.0,15671.0,9237.0,1454.0,131.0,3008.0,3784.0,15340.0,75588.2041,4414.1041000000005,0.0
7953,4835.0,8186.0,13357.0,4105.0,16024.0,9131.0,1459.0,131.0,5718.0,3898.0,15266.0,76347.5408,4425.800800000001,0.0
7954,4839.0,8129.0,12852.0,2499.0,16184.0,9086.0,1398.0,131.0,7534.0,3950.0,14968.0,76697.4694,4410.799399999996,0.0
7955,4850.0,8059.0,12763.0,2396.0,16203.0,9113.0,1407.0,131.0,7745.0,4182.0,15184.0,76209.551,4371.361000000008,0.0
7956,4849.0,8029.0,12089.0,1877.0,15993.0,9178.0,1415.0,131.0,6081.0,4349.0,16238.0,75389.6837,3828.2937,0.0
7957,4833.0,8110.0,12116.0,3907.0,15951.0,9281.0,1416.0,131.0,3444.0,4416.0,17160.0,74826.2041,3387.574099999996,0.0
7958,4828.0,8280.0,11378.0,3378.0,15729.0,9352.0,1408.0,131.0,848.0,4486.0,18617.0,75000.7653,4234.3852999999945,0.0
