,biomass,gas,hard_coal,hydro,lignite,other_fossil,wind_onshore,demand,s_l,s_r
8237,246.32,1122.02,9233.22,116.73,4554.33,245.42,3955.88,19097.9592,280.4192000000039,0.0
8238,251.41,1184.76,9885.34,110.33,5995.81,244.79,3866.12,21294.898,550.3279999999991,0.0
8239,253.61,1174.09,10311.74,130.0,6012.69,246.1,3896.35,22180.6122,508.68220000000565,0.0
8240,255.21,1175.59,10383.06,106.31,6002.6,250.94,4015.97,22635.7143,451.664300000004,0.0
8241,256.01,1183.0,10303.74,101.5,6003.95,251.41,3912.98,22610.2041,555.5840999999978,0.0
8242,256.36,1183.7,10537.96,119.6,6020.58,252.25,3830.06,22862.2449,556.7749000000031,0.0
8243,257.16,1188.15,10712.0,124.65,6031.76,248.83,3752.06,22969.3878,566.3577999999973,0.0
8244,256.49,1188.05,11020.94,137.06,6098.66,245.31,3558.95,23228.5714,629.4514000000024,0.0
8245,255.98,1184.98,10805.12,131.46,6022.97,244.97,3454.93,22903.0612,610.1811999999968,0.0
8246,257.08,1190.99,10909.98,143.99,6078.24,243.65,3317.94,23034.6939,573.1139000000007,0.0
8247,255.96,1193.45,11284.05,484.2,6197.33,258.65,3159.99,23874.4898,688.8298000000013,0.0
8248,255.42,1193.62,11287.19,517.08,6153.41,268.4,3048.12,23782.6531,730.1130999999964,0.0
8249,257.67,1194.08,11287.07,387.31,6217.87,267.71,2797.01,23376.5306,720.4105999999961,0.0
8250,256.16,1187.33,11163.31,187.04,6179.47,254.7,2641.83,23150.0,743.3599999999966,0.0
8251,254.63,1142.29,10914.08,127.59,5676.19,251.79,2697.04,22551.0204,624.6504000000025,0.0
8252,254.17,1162.15,10659.52,162.67,5092.41,253.39,2565.58,21105.102,692.1519999999985,0.0
8253,248.4,1130.44,9818.83,120.86,4816.63,253.18,2471.12,19528.5714,542.3514000000001,0.0
8254,247.11,1121.64,9476.48,120.88,4407.27,256.21,2309.15,18224.4898,499.94980000000055,0.0
8255,248.63,1149.38,9445.44,114.84,4153.24,254.98,1946.3,17132.6531,489.21309999999676,0.0
8256,246.34,1123.38,9434.31,114.0,4061.25,255.01,1646.69,16609.1837,443.75370000000134,0.0
8257,246.76,1111.35,9397.76,114.0,4043.02,255.28,1501.73,16365.3061,347.6160999999979,0.0
8258,246.42,1114.0,9424.12,114.0,4351.42,256.51,1408.48,16456.1224,223.08239999999796,0.0
8259,247.63,1134.62,9394.55,114.0,4565.51,257.45,1418.84,16794.898,281.8880000000024,0.0
8260,249.42,1138.15,9655.73,114.8,4626.52,254.73,1306.74,17481.6327,171.2226999999998,0.0
8261,252.36,1167.37,10470.18,116.81,5728.46,254.51,1270.96,20217.3469,695.0169000000014,0.0
8262,254.69,1201.71,11690.89,135.85,6083.12,254.75,1214.19,22167.3469,782.1969000000036,0.0
8263,255.4,1201.38,12024.11,136.31,6246.26,261.93,1107.33,22983.6735,907.9934999999996,0.0
8264,255.51,1199.38,12158.98,143.78,6313.47,273.02,1015.16,23317.3469,999.7369000000017,0.0
8265,254.23,1196.96,11989.16,146.17,6076.25,276.32,920.11,23173.4694,932.719400000002,0.0
8266,254.73,1197.89,12018.62,173.37,6087.24,281.89,918.55,23460.2041,958.524099999999,0.0
8267,255.5,1202.05,12333.18,172.03,6336.79,283.98,721.35,23669.3878,1104.807800000003,0.0
8268,254.91,1201.98,12613.85,146.6,6372.13,283.38,647.81,23864.2857,1126.045699999996,0.0
8269,255.83,1197.93,12465.6,139.83,6303.77,284.59,634.52,23505.102,1024.161999999999,0.0
8270,256.91,1196.94,12683.88,137.25,6289.59,284.43,661.2,23669.3878,1105.4078000000009,0.0
8271,257.37,1197.87,12947.26,318.1,6328.18,286.12,636.95,24368.3673,1104.3773000000047,0.0
8272,256.66,1195.57,12920.04,255.28,6355.16,287.15,670.36,24192.8571,1121.057100000001,0.0
8273,256.2,1195.54,12730.78,207.42,6340.44,284.46,699.88,23743.8776,1081.1175999999969,0.0
8274,255.89,1200.56,12653.19,342.29,6042.58,281.11,704.89,23648.9796,1059.5195999999971,0.0
8275,255.47,1200.74,12245.92,411.06,5917.8,281.02,650.04,23039.7959,1054.095899999998,0.0
8276,256.49,1200.5,11778.83,354.08,5800.14,270.27,596.19,21557.1429,1082.5128999999988,0.0
8277,250.3,1168.14,11159.96,156.53,5748.64,263.43,647.55,20131.6327,1007.3127000000009,0.0
8278,248.37,1152.93,10470.24,125.35,5053.58,263.34,596.45,18722.449,804.2789999999968,0.0
8279,249.76,1169.8,10116.44,129.95,4936.09,263.14,556.13,17552.0408,786.9207999999994,0.0
8280,247.91,1169.65,9973.63,129.88,4857.42,262.18,602.24,17052.0408,794.3407999999981,0.0
8281,249.02,1169.02,9981.91,130.7,4922.4,260.26,574.93,16637.7551,779.0950999999955,0.0
8282,248.99,1169.55,10143.9,130.8,4942.2,258.69,585.64,16674.4898,491.5698000000011,0.0
8283,248.64,1173.03,10224.52,130.66,4989.99,258.13,547.46,16955.102,444.48199999999815,0.0
8284,252.76,1176.56,10540.33,129.79,5251.52,257.53,475.16,17753.0612,471.0012000000038,0.0
8285,279.28,1191.52,11438.25,129.58,5513.76,259.01,476.58,20398.9796,706.3795999999979,0.0
8286,287.8,1216.9,12843.1,129.84,5882.81,265.22,460.27,22373.4694,1005.9493999999991,0.0
8287,287.24,1220.93,13310.31,145.84,5953.19,270.5,437.94,23238.7755,1077.465500000002,0.0
8288,287.54,1219.99,13253.92,245.25,5981.44,276.99,341.5,23552.0408,1101.8407999999997,0.0
8289,287.01,1219.5,13070.52,184.7,5857.5,286.69,262.76,23445.9184,1058.908399999997,0.0
8290,287.21,1220.38,13183.99,178.84,5951.98,287.42,266.09,23769.3878,1146.8878000000016,0.0
8291,288.0,1221.15,13187.23,178.89,5924.81,283.01,244.03,23842.8571,1184.4671000000058,0.0
8292,287.2,1217.11,13196.54,160.8,5939.84,282.44,247.24,23995.9184,1123.5984000000012,0.0
8293,289.84,1222.18,13100.4,154.69,5908.63,285.99,303.74,23703.0612,1120.0411999999965,0.0
8294,288.81,1224.86,13301.85,203.75,5937.2,286.63,400.08,23866.3265,1155.3364999999953,0.0
8295,288.96,1226.98,13299.6,374.38,6023.94,287.38,547.82,24635.7143,1112.9942999999978,0.0
8296,288.86,1223.03,13220.35,292.53,5980.92,288.29,717.3,24479.5918,1192.011799999995,0.0
8297,290.54,1220.25,13037.03,212.17,5969.37,289.41,785.69,23931.6327,1120.9226999999996,0.0
8298,277.66,1220.43,12852.12,189.84,5914.58,290.69,776.45,23866.3265,1120.9764999999993,0.0
8299,259.07,1218.93,12449.2,166.5,5746.67,291.19,743.45,23152.0408,1087.6807999999955,0.0
8300,256.11,1212.12,11591.06,139.83,5434.95,287.0,720.99,21663.2653,952.115299999999,0.0
8301,249.11,1192.89,10949.21,130.49,5100.21,271.54,655.79,20182.6531,936.2330999999976,0.0
8302,249.06,1174.52,10367.41,125.43,4372.69,256.4,585.25,18789.7959,796.915899999999,0.0
8303,247.81,1175.35,10562.24,179.66,4175.83,251.42,586.73,17734.6939,857.4738999999995,0.0
8304,247.67,1174.89,10566.04,126.3,4182.19,250.81,673.04,17124.4898,816.7197999999962,0.0
8305,250.31,1172.6,10430.0,126.43,4175.8,250.89,675.18,16751.0204,739.4704000000011,0.0
8306,248.53,1173.25,10443.79,127.54,4226.46,249.8,661.53,16902.0408,761.580799999997,0.0
8307,248.86,1173.62,10403.36,127.94,4279.53,249.34,653.35,17231.6327,783.552699999997,0.0
