,biomass,gas,hydro,other_fossil,wind_onshore,demand,s_l,s_r
7902,88.0,517.0,354.0,86.0,1.0,1073.0,466.5,0.0
7903,90.0,626.0,346.0,86.0,6.0,1125.0,544.0,0.0
7904,90.0,702.0,240.0,85.0,4.0,1152.0,823.5,0.0
7905,90.0,814.0,83.0,85.0,2.0,1148.0,893.0,0.0
7906,90.0,864.0,71.0,85.0,1.0,1107.0,875.5,0.0
7907,90.0,864.0,215.0,86.0,4.0,1126.0,806.0,0.0
7908,90.0,865.0,200.0,86.0,3.0,1113.0,694.5,0.0
7909,91.0,864.0,108.0,86.0,4.0,1116.0,722.0,0.0
7910,91.0,864.0,181.0,86.0,7.0,1147.0,650.0,0.0
7911,91.0,864.0,259.0,87.0,7.0,1128.0,590.0,0.0
7912,91.0,865.0,420.0,87.0,6.0,1104.0,435.5,0.0
7913,91.0,864.0,195.0,87.0,7.0,1065.0,630.5,0.0
7914,93.0,863.0,5.0,89.0,8.0,1041.0,896.5,0.0
7915,87.0,756.0,105.0,87.0,6.0,972.0,830.0,0.0
7916,85.0,662.0,0.0,87.0,8.0,884.0,871.5,0.0
7917,85.0,660.0,0.0,87.0,5.0,796.0,820.0,0.0
7918,85.0,660.0,16.0,87.0,3.0,739.0,860.0,0.0
7919,84.0,660.0,0.0,87.0,6.0,702.0,734.0,0.0
7920,84.0,660.0,0.0,87.0,5.0,672.0,540.0,0.0
7921,84.0,660.0,0.0,87.0,2.0,661.0,450.0,0.0
7922,84.0,660.0,0.0,87.0,6.0,673.0,538.0,0.0
7923,88.0,660.0,0.0,87.0,4.0,722.0,618.5,0.0
7924,89.0,660.0,0.0,87.0,4.0,846.0,539.5,0.0
7925,91.0,663.0,2.0,86.0,2.0,995.0,655.0,0.0
7926,91.0,772.0,292.0,86.0,2.0,1077.0,466.0,0.0
7927,91.0,863.0,473.0,86.0,1.0,1127.0,306.5,0.0
7928,91.0,864.0,283.0,86.0,0.0,1123.0,543.0,0.0
7929,90.0,865.0,206.0,86.0,0.0,1101.0,542.5,0.0
7930,91.0,865.0,214.0,86.0,0.0,1065.0,440.0,0.0
7931,91.0,864.0,186.0,87.0,0.0,1089.0,444.0,0.0
7932,91.0,864.0,235.0,87.0,0.0,1089.0,414.0,0.0
7933,90.0,864.0,198.0,87.0,0.0,1094.0,433.0,0.0
7934,90.0,863.0,278.0,88.0,0.0,1145.0,350.0,0.0
7935,92.0,863.0,330.0,88.0,0.0,1143.0,429.5,0.0
7936,92.0,862.0,487.0,88.0,0.0,1124.0,171.0,0.0
7937,92.0,759.0,475.0,88.0,1.0,1083.0,169.0,0.0
7938,92.0,676.0,428.0,88.0,3.0,1052.0,326.5,0.0
7939,90.0,680.0,189.0,88.0,3.0,1003.0,597.5,0.0
7940,90.0,665.0,0.0,88.0,1.0,913.0,636.0,0.0
7941,89.0,658.0,0.0,88.0,1.0,825.0,519.5,0.0
