,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,CZ -> SK,HU -> SK,PL -> SK,demand,SK -> CZ,SK -> HU,SK -> PL,mismatch
160,21.3,179.6,61.3,970.94,192.2,1892.0,490.6,39.6,0.1,1259.48,0.0,393.4,3525.06,0.0,1493.21,0.0,482.25000000000045
161,21.2,181.9,62.6,1002.41,193.2,1896.5,490.6,38.7,0.0,1279.6,0.0,380.3,3528.45,0.0,1518.1,0.0,500.4599999999996
162,21.2,182.7,63.6,998.77,193.6,1897.9,490.8,39.5,0.0,1267.8,0.0,353.3,3522.1,0.0,1469.62,0.0,517.4500000000003
163,20.9,183.7,62.9,964.45,193.7,1898.1,488.2,40.0,0.0,1235.35,0.0,326.6,3456.0,0.0,1368.15,0.0,589.7499999999995
164,21.1,183.7,62.9,851.59,193.9,1896.5,489.8,40.5,0.0,1059.35,0.0,317.2,3299.98,0.0,1325.45,0.0,491.1099999999999
165,20.9,178.8,62.0,821.38,192.9,1896.8,487.8,41.3,0.0,935.75,0.0,351.4,3152.75,0.0,1362.82,0.0,473.4600000000007
166,20.0,179.6,58.7,812.64,191.2,1896.2,484.2,41.6,0.0,720.65,0.0,303.3,3009.13,0.0,1264.21,0.0,434.75
167,20.7,178.9,58.2,806.13,190.6,1898.2,482.4,41.3,0.0,559.53,0.0,366.8,2958.54,0.0,1171.25,0.0,472.97000000000025
168,20.9,181.6,59.3,752.64,200.9,1899.5,486.2,40.7,0.0,422.48,0.0,373.1,2861.79,0.0,1154.76,0.0,420.76999999999975
169,20.8,183.3,60.3,760.62,202.3,1899.2,489.0,40.2,0.0,460.08,0.0,377.7,2824.91,0.0,1084.49,0.0,584.1000000000001
170,21.0,179.6,59.1,758.94,201.6,1897.8,487.1,39.5,0.0,489.9,0.0,381.9,2800.57,0.0,1011.37,0.0,704.4999999999994
